"country","landscape","scale","year","foodsec","availability","access","utilization","latitude","longitude"
"GHA","L01","Landscape",2015,NA,NA,0.00408568671928003,0.63423645320197,10.5590000152588,-0.834999084472656
"GHA","L02","Landscape",2015,NA,NA,0.00410556444726362,0.779926108374384,9.90400123596191,-0.854499816894531
"GHA","L03","Landscape",2015,NA,NA,0.00328421723694656,0.676190476190476,7.70899963378906,-0.880999565124512
"GHA","L04","Landscape",2015,NA,NA,0.00459117095408684,0.710098522167488,6.55200004577637,-1.49399948120117
"GHA","L05","Landscape",2015,NA,NA,0.00500852669991891,0.730238095238095,5.09250068664551,-2.57799911499023
"GHA","L06","Landscape",2015,NA,NA,0.00558032975584955,0.718262987012987,5.72800064086914,-0.510699272155762
"RWA","L01","Landscape",2016,NA,NA,0.000601901273187732,0.628095238095238,-2.57578970240643,29.4347584689003
"RWA","L02","Landscape",2016,NA,NA,0.00197468875417837,0.633333333333333,-1.48050348714566,29.55086017135
"RWA","L03","Landscape",2016,NA,NA,0.0019795288944911,0.642142857142857,-1.93426664412886,30.678255588268
"RWA","L04","Landscape",2015,NA,NA,0.00124831289999834,0.65297619047619,-1.80927231441535,29.3847853801739
"RWA","L06","Landscape",2016,NA,NA,0.00151672411751258,0.7475,-1.97725720942347,29.7928701957997
"RWA","L07","Landscape",2016,NA,NA,0.000477686957917929,0.643333333333333,-2.28718495548197,30.0187746264512
"TZA","L03","Landscape",2015,NA,NA,0.0020306409921802,0.676666666666667,-7.93601976329183,31.7140544443077
"TZA","L10","Landscape",2014,NA,NA,0.00232596814076748,0.624285714285714,-8.53911341077989,34.8481422428861
"TZA","L11","Landscape",2015,NA,NA,0.00234067282467895,0.729047619047619,-10.0674212512047,34.6613285529092
"TZA","L18","Landscape",2014,NA,NA,0.00339321877093103,0.71,-7.53483534169035,36.4463760379053
"TZA","L19","Landscape",2014,NA,NA,0.00174381484737855,0.687380952380952,-8.09763085083975,36.5229650139842
"TZA","L20","Landscape",2014,NA,NA,0.00270651039386265,0.72047619047619,-8.60363144569888,34.3167307654591
"TZA","L22","Landscape",2015,NA,NA,0.00100896002130917,0.693333333333333,-8.14419444155308,38.7492089681939
"UGA","L01","Landscape",2016,NA,NA,0.00132603356533847,0.696428571428571,3.5840602791963,31.1975267607797
"UGA","L02","Landscape",2015,NA,NA,0.00182544951327752,0.702142857142857,1.03690346284041,34.3568865263743
"UGA","L03","Landscape",2015,NA,NA,0.00184613351071092,0.720812807881773,0.203686999334623,32.1222569707067
"UGA","L04","Landscape",2016,NA,NA,0.00178973393073353,0.544285714285714,-1.24177656546097,29.7871381860837
"UGA","L06","Landscape",2016,NA,NA,0.0019791929990622,0.704047619047619,1.87635436806258,31.7560832397785
"UGA","L07","Landscape",2016,NA,NA,0.00286791754656994,0.579285714285714,2.45257755461486,33.2567780274687
